title,price,location,description,link
"2,094 SQM - RESIDENTIAL PROPERTY - GUADALUPE VIEJO, MAKATI","PHP 251,280,000","Progreso Street, Guadalupe Viejo, Makati","2,094 SQM - Residential Property - Guadalupe Viejo, Makati",
VALLE VERDE 7 HOUSE & LOT,"PHP 682,000,000","Lot 5 Block 2, Firefly Street, Valle Verde 7, Brgy. Ugong, Pasig City","2,728sqm house & lot in Valle Verde 7",
"1,781 SQM PROPERTY FOR SALE IN BALABAG, BORACAY ISLAND","PHP 94,393,000","Brgy. Balabag, Boracay Island, Malay, Aklan","Primely located along Boracay's main road, this property offers easy access to the island's best attractions. It's just a short distance from the pristine white sand beaches and is conveniently situated across from Fairways & Bluewater Resort and near Citymall.",
"1BR CONDOMINIUM FOR SALE IN THE GRAMERCY RESIDENCES, MAKATI","PHP 8,300,000",Makati,"An unfurnished condominium unit for sale in The Gramercy Residences, Makati with a floor area of 34.55 SQM priced at Php 8,300,000 plus VAT.",
SHAW BOULEVARD COMMERCIAL PROPERTY,"PHP 1,567,225,000","Shaw Boulevard, Addition Hills, Mandaluyong",Commercial Lot,
MYTOWN PARIS,"PHP 20,000,000","Blk 21 Lot 8 B Camia Extension, Brgy. Pembo, Makati","Dormitory building in Pembo, Makati",
"2BR CONDOMINIUM FOR SALE IN ARYA RESIDENCES, TAGUIG","PHP 45,000,000",Taguig,"A 2 Bedroom condominium unit with 1 parking space, 3 toilets and baths, and a maid's room for sale in Arya Residences, Taguig. This unit has a floor area of 138 SQM, and is priced at Php 45,000,000.",
"STUDIO FOR SALE IN ELIZABETH PLACE, MAKATI","PHP 7,800,000","332 Sen. Gil J. Puyat Ave, Makati, Metro Manila",Studio,
1.6 HAS. LUCENA CITY LOT,"PHP 42,110,000","Quezon Eco Tourism Road, Brgy. Salinas, Lucena City",16.844 sqm,
"3 BEDROOMS FOR SALE IN ONE ROXAS TRIANGLE, MAKATI","PHP 125,000,000","Cruzada St, Makati, Metro Manila",3 BR with parkling,
"2 BEDROOMS FOR SALE IN SEAVIEW OAK HARBOR RESIDENCES, PARAÑAQUE","PHP 24,092,240","Unit 1004, Aston Tower, Oak Harbor Residences, Paranaque","For Sale Oak Harbor Aston Tower Unit 1004 2 Bedroom 97 sqm Balcony Seaview Maids w T&B 1 Parking Semi furnished 24,002,240 Php Incl CGT & 3% Broker Fee",
"VACANT LOT FOR SALE IN AVIDA RESIDENCES, STA. MONICA, LIPA, BATANGAS","PHP 2,840,000","P. Torres Street, Avida Residences Sta. Monica, Lipa, Batangas",Vacant Lot,
"2 BEDROOMS WITH BALCONY FOR SALE IN VENICE LUXURY RESIDENCES TOWER D (DOMENICO), TAGUIG","PHP 18,468,000","Venezia Drive, Brgy. Pinagsama, Taguig City",2BR with balcony,
"2 BEDROOMS FOR SALE IN CEDAR CREST CONDOMINIUM ROSELLE BLDG, TAGUIG","PHP 7,500,000","Acacia Ave, Acacia Estate, Taguig, Metro Manila",2BR with balcony,
"3BR CONDOMINIUM FOR SALE IN TWIN TOWERS, MAKATI","PHP 56,000,000","Ayala Ave., Makati",3 Bedroom Furnished unit,
"3 BEDROOMS FOR SALE IN AURELIA RESIDENCES, TAGUIG","PHP 170,000,000","5th Ave, Cor McKinley Pkwy, Taguig",3BR,
TEKA 2,"PHP 62,200,000","Lot 3, Block 21, Teka St., San Antonio, Makati",Residential property for sale,
"3BR CONDOMINIUM FOR SALE IN CBY TOWER, BINONDO, MANILA","PHP 12,877,200",Binondo Manila,3 bedrooms with balcony,
"LOT FOR SALE IN URDANETA VILLAGE, MAKATI","PHP 600,000,000",Makati,,
"BALANGA, BATAAN","PHP 145,181,340","Roman Superhighway, Brgy. Tuyo, Balanga City, Bataan",Commercial Land for Sale,
"STUDIO CONDOMINIUM UNIT FOR SALE IN SHANG SALCEDO PLACE, MAKATI","PHP 12,000,000",Makati,"A furnished studio condominium unit with 1 parking space for sale in Shang Salcedo Place, Makati with a floor area of 35.54 SQM, priced at Php 12,000,000. This unit is also for lease for Php 40,000 per month.",
"2 BEDROOMS FOR SALE IN FLAIR TOWERS CONDOMINIUM NORTH TOWER, MANDALUYONG","PHP 6,760,000","Reliance, Pines, Mandaluyong, 1550 Metro Manila",2BR,
"6BR HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 240,000,000",Muntinlupa,"A semi furnished 6 bedroom house and lot for sale in Ayala Alabang Village, Muntinlupa with a lot area of 513 SQM and a floor area of 800 SQM, priced at Php 240,000,000. This 3-storey property has 6 bathrooms, 7 parking spaces, 3 kitchen areas, swimming pool, elevator, 2 covered upper decks, 2 storage rooms, a powder room, pantry, utility and laundry area, staff and driver's room.",
"3 BEDROOMS COMBINED UNITS FOR SALE IN FORBESWOOD HEIGHTS TOWER 5, TAGUIG","PHP 14,140,000","Forbeswood Heights, Forbestown Road, Taguig, Metro Manila",3BR Combined Units and parking,
"2 BEDROOMS WITH PARKING FOR SALE IN TIVOLI GARDENS RESIDENCES HIBISCUS BLDG, MANDALUYONG","PHP 7,450,000","69 Coronado, Mandaluyong, 1550 Metro Manila",2BR with parking,
"1BR CONDOMINIUM FOR SALE IN TUSCANY PRIVATE RESIDENCES, TAGUIG","PHP 11,610,000","Upper McKinley Road, McKinley Hill, Fort Bonifacio, Taguig City",1BR Loft Type,
"7BR HOUSE AND LOT FOR SALE IN WHITE PLAINS, QUEZON CITY","PHP 195,000,000","White Plains, Quezon City","3-storey house, 7BR with en-suite bathroom, 5 car garage",
"1 BEDROOM WITH BALCONY FOR SALE IN SEA RESIDENCES CONDOMINIUM BLDG A, PASAY","PHP 5,415,000","Pearl Drive Cor Sunrise Drive, Pasay, 1300 Metro Manila",1BR with balcony,
"ROXAS BOULEVARD, PASAY CITY","PHP 1,320,375,000","Roxas Boulevard, Pasay City",Commercial Lot,
"7BR HOUSE AND LOT FOR SALE IN FOREST FARMS AT HAVILA, ANGONO, RIZAL","PHP 165,000,000","Brgy. Mahabang Parang, Angono, Rizal, 1930","Experience living in a work of art crafted by Architect Mañosa. This 7-bedroom home, complete with a garden and pool, offers breathtaking views of Laguna de Bay. It blends Filipino design, modern comforts, and Japanese-inspired elements—perfect for families seeking space, tranquility, and a seamless connection to nature.",
"2.6 HECTARES IN LIPA, BATANGAS","PHP 90,135,500","Brgy. Tangob, Lipa City, Batangas","Property located in Brgy. Tangob, Lipa",
"3BR CONDOMINIUM FOR SALE IN ST. MORITZ PRIVATE ESTATE, TAGUIG","PHP 80,000,000",Taguig,"- 3 Bedrooms - Penthouse - Loft type - With private pool - Price: Php 80,000,000",
"1BR CONDOMINIUM FOR SALE IN OCEAN TOWER, ROXAS BLVD., MANILA","PHP 12,500,000","Roxas Boulevard, Malate, Manila",1 Bedroom with 1 Parking Slot,
"1 BEDROOM FOR SALE IN ONE CENTRAL, MAKATI CITY","PHP 9,060,000","Sen. Gil J. Puyat Ave, Makati, Metro Manila",1BR,
"4.4 HA LAND FOR SALE - STA. CLARA, BATANGAS","PHP 426,771,980.04","Batangas Port Access Road, Sta. Clara, Batangas City","4.4 Ha Land for Sale - Sta. Clara, Batangas",
"LOT FOR SALE IN BEL-AIR 3 VILLAGE, MAKATI CITY","PHP 500,000,000","Bel-Air 3 Village, Makati City",Residential Lot with improvement,
"3 BEDROOMS FOR SALE IN CEDAR CREST CONDOMINIUM TANGERINE BLDG, TAGUIG","PHP 8,300,000","Acacia Ave, Acacia Estate, Taguig, Metro Manila",3BR,
"3 BEDROOM FOR SALE IN AURELIA RESIDENCES, TAGUIG","PHP 150,000,000","5th Ave, Cor McKinley Pkwy, Taguig",3BR,
"HOUSE & LOT FOR SALE IN TOWN AND COUNTRY DASMARIÑAS, CAVITE","PHP 12,240,000","Brgy. Salitran IV, Dasmariñas City Cavite",House & Lot,
"1 HAS. BEACHFRONT, SAN FERNANDO, LU","PHP 273,757,000","San Fernando, La Union","10,000 sqm. beachfront",
"2 BEDROOMS FOR SALE IN SEAVIEW OAK HARBOR ASTON TOWER, PARAÑAQUE","PHP 24,500,000","Unit 1003, Aston Toer, Oak Harbor Residences, Paranaque","For Sale Oak Harbor Aston Tower Unit 1003 2 Bedroom 100 sqm Balcony Seaview Maids w T&B 1 Parking Semi furnished 24,500,000 Php Incl CGT & 3% Broker Fee",
"2BR CONDOMINIUM FOR SALE IN AVIDA TOWERS (TOWER 1), TAGUIG","PHP 16,456,000",Taguig,"- 2 Bedrooms - 2 Toilet and bath - Furnished - Storage room - Facing Uptown Mall - Floor area: 61.8 SQM - Price: Php 16,456,000",
110 LEGAZPI,"PHP 1,500,000,000","110 Legazpi St., Legazpi Village, Makati City",110 Legazpi St. in front of Greenbelt 5,
"3BR CONDOMINIUM FOR SALE IN PACIFIC PLAZA TOWERS, BGC, TAGUIG","PHP 88,000,000","West, Crescent Park Residences, 4th Ave, Taguig City",3 Bedroom unit facing Manila Golf,
"2.9 HECTARES PROPERTY FOR SALE IN YAPAK, BORACAY","PHP 1,112,906,000","Yapak, Boracay Island, Aklan","Property is located in Yapak, Boracay with access to the main road.",
"STUDIO CONDOMINIUM UNIT FOR SALE IN PINE SUITES, TAGAYTAY","PHP 5,500,000",Tagaytay,"A furnished studio condominium unit for sale in Pine Suites, Tagaytay with a floor area of 23.79 SQM, priced at Php 5,500,000.",
"VACANT LOT FOR SALE IN THE RESIDENCES LIPA, BATANGAS","PHP 1,160,000","P. Torres Street, Lipa, Batangas",Vacant Lot,
"4BR HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 144,000,000","Apitong St. Ayala Alabang Village, Muntinlupa",4 Bedroom house for renovation,
"2BR CONDOMINIUM FOR SALE IN PARK TERRACES, MAKATI","PHP 46,000,000",Makati,"A luxuriously furnished 2 bedroom condominium unit with 1 parking space for sale in Park Terraces, Makati, with a floor area of 115 SQM, priced at Php 46,000,000. This east facing unit has a maid's room with bath, double glazed & tinted, built in Smeg dishwasher & built in oven, open kitchen with inverter, Toshiba airconditioning units.",
"OFFICE SPACE FOR SALE IN BURGUNDY CORPORATE TOWER, MAKATI CITY","PHP 219,000,000","252 Sen. Gil J. Puyat Ave, Makati",Office,
"LOT FOR SALE IN HILLSBOROUGH, ALABANG, MUNTINLUPA","PHP 40,000,000","Worcester Street, Hillsborough, Barangay Cupang, Muntinlupa City",Vacant Lot,
COMMERCIAL BUILDING IN CHINO ROCES,"PHP 95,085,999.936","Chino Roces Ave. corner Barasoain St. and Novaliches St., Brgy. Olympia, Makati",Office building (3 floors plus mezzanine and roofdeck) along Chino Roces Ave.,
"2BR CONDOMINIUM FOR SALE IN PARK CENTRAL, MAKATI","PHP 138,000,000",Makati,"A semi-furnished 2 bedroom condominium with 2 parking spaces for sale in Park Central, Makati with a floor area of 240 SQM, priced at Php 138,000,000.",
"3 BEDROOMS FOR SALE IN AURELIA RESIDENCES, TAGUIG","PHP 179,500,000","5th Ave, Cor McKinley Pkwy, Taguig",3BR Premier A,
WEST SERVICE ROAD ALABANG,"PHP 667,600,000","West Service Road, Alabang, Muntinlupa City","West Service Road, Alabang, Muntinlupa City",
"1 BEDROOM WITH BALCONY FOR SALE IN VENICE LUXURY RESIDENCES TOWER E (EMANUELE), TAGUIG","PHP 7,432,900","Venezia Drive, Brgy. Pinagsama, Taguig City",1BR with balcony,
"STUDIO FOR SALE IN VICEROY TOWER 3, MCKINLEY TAGUIG","PHP 4,790,000","Florence Way, Brgy. Fort Bonifacio, Mckinley Hill, Taguig",Studio,
EXCLUSIVE 5BR HOUSE BESIDE GOLF COURSE IN AYALA ALABANG VILLAGE,"PHP 550,000,000","Sarangani Street, Ayala Alabang Village, Muntinlupa City","This remarkable 2-storey family home occupies a rare lot adjacent to the Alabang Country Club’s golf course, providing serene views and exceptional privacy. The expansive living spaces flow seamlessly into the outdoors, where a private pool, lanai, and a landscaped garden offer a peaceful retreat surrounded by lush greenery and stunning golf course views.",
3BR CONDOMINIUM FOR SALE IN THE SALCEDO PARK TOWERS,"PHP 32,480,000","H.V Dela Costa Street Salcedo Village, Makati",3 Bedrooms with parking,
"HOUSE AND LOR FOR SALE IN VILLARICA SUBD. CAINTA, RIZAL","PHP 22,700,000","Aquarius St. Villarica Subd. Cainta, Rizal",Duplex with Ancestral House,
"864 SQM LOT FOR SALE IN NASUGBU, BATANGAS","PHP 23,652,489","F. Alix St., Nasugbu, Batangas",Property in Nasugbu,
"2BR CONDOMINIUM FOR SALE IN THE COLUMNS AYALA, MAKATI","PHP 11,000,000",Makati,"An unfurnished 2 bedroom condominium unit with 1 parking space for sale in The Columns Ayala, Makati. This unit has a floor area of 67 SQM, priced at Php 11,000,000.",
ALABANG ZAPOTE PROPERTY FOR SALE,"PHP 1,870,000,000","Alabang zapote road, barangay pamplona, las pinas city",Property along alabang zapote road,
790-SQM COMMERCIAL LOT FOR SALE IN MALATE,260000,"M.H. Del Pilar St., Malate, Manila",Commercial lot,
GCIC P.GOMEZ COR. LUNA MENCIAS,"PHP 162,720,000",P.Gomez Cor. Luna Mencias,Commercial Lot along P.Gomez cor. Luna Mencias,
"STUDIO CONDOMINIUM FOR SALE IN ONE EASTWOOD AVENUE, QUEZON CITY","PHP 4,900,000",Quezon City,"Semi-furnished studio unit for sale in One Eastwood Avenue with a floor area of 24.2 SQM. This unit is tenanted until October 2025. This unit is priced at Php 4,900,000 plus VAT.",
"9,330 SQM. BEACHFRONT RESORT FOR SALE IN SIARGAO","PHP 450,000,000","Malinao Rd, General Luna Siargao, Surigao del Norte, Philippines","Property is located at Malinao, Siargao",
"CERVERA, MAKATI","PHP 39,500,000","Lot 2, Block 15, Cervera St., La Paz, Makati",Property right beside Unioil Cervera,
PERSIMMON PLUS,"PHP 700,000,000","The Persimmon Condominium, Mandaue, Cebu",Commercial/Residential property for sale in Cebu,
"56.9 HECTARES IN SILAY, NEGROS OCCIDENTAL","PHP 1,422,950,000","Silay, Negros Occidental","Aton Land, Silay - 56.9 Ha",
"3BR HOUSE AND LOT FOR SALE IN CALAMBA, LAGUNA","PHP 33,597,285","Calamba, Laguna","Calamba, Laguna",
"YAGUE STREET, MAKATI","PHP 47,000,000","Lot 19, Block 12, Yague St. Makati",Residential property for sale,
"3BR CONDOMINIUM FOR SALE IN BONIFACIO RIDGE, BGC, TAGUIG","PHP 30,000,000.54","1st Ave, Taguig, 1635 Metro Manila","Spanish Bay Tower, Bonifacio Ridge 1st Ave. Crescent Park West, Bonifacio Global City, Taguig City 20th Floor 113.02 sqm (floor area) 3 Bedrooms 2 Toilet & Bath 1 Maid's Quarter with T&B 1 Parking Slot With Tenant Until 8/19/26",
"2 BEDROOMS FOR SALE IN MIREA RESIDENCES MAIA BLDG, PASIG","PHP 5,080,000","Eulogio Amang Rodriguez Ave, Pasig, 1800 Metro Manila",2BR with balcony,
UNIT 2108 TO 2112 HIGH STREET SOUTH CORP. PLAZA,"PHP 161,240,000","High Street South Corporate Plaza Tower 2, 26th Street cor. 11th Ave., BGC, Taguig City",High Street South Corporate Plaza,
STA ANA PROPERTY FOR SALE,151070,"Pedro Gil, Sta. Ana, Manila",along Pedro Gil,
"1,061-SQM COMMERCIAL LOT FOR SALE IN ERMITA, MANILA",260000,"M.H. Del Pilar St., Ermita, Manila",Commercial lot,
"3BR CONDOMINIUM FOR SALE IN PIONEER HIGHLANDS, MANDALUYONG","PHP 16,000,000",Madison St. Mandaluyong,3 Bedroom furnished unit with 1 parking slot.,
"1-HECTARE LAND ON WEST SERVICE ROAD, BICUTAN FOR SALE","PHP 70,000 +VAT","KM 18, West Service Road, Bicutan, Paranaque",Industrial lot with office building and warehouse,
"LOT FOR SALE IN MAHOGANY PLACE 1, TAGUIG","PHP 21,300,000",Taguig,Lot Area: 142 SQM,
MYTOWN MADRID,"PHP 80,000,000.005","212, Lot 4 Lower Azucena, Brgy. Pembo, Makati","Dormitory building in Pembo, Makati",
"2 BEDROOM LOFT TYPE FOR SALE IN MCKINLEY PARK RESIDENCES, BGC, TAGUIG","PHP 15,000,000","3rd Avenue cor 31st Street Bonifacio Global City, Taguig",2BR Loft Type,
"3BR CONDOMINIUM FOR SALE IN TWIN TOWERS, MAKATI","PHP 56,000,000",Makati,"A 3 bedroom condominium unit for sale in Twin Towers Makati with a floor area of 271 SQM. This unit has 2 parking spaces, 4 bathrooms, and staff quarters with toilet and bath. This unit is priced at Php PHP 56,000,000.",
"ROAD 1 BRGY. BAGONG PAG-ASA, QC","PHP 82,744,925","Road 1 Brgy. Bagong Pag-Asa, Quezon City","Lot Area 413 sqm., Total Floor Area 540 sqm., New structure is tenanted with approx Php 90,000 monthly rent collection",
"1BR CONDOMINIUM FOR SALE IN AVIDA TOWERS 34TH, BGC, TAGUIG","PHP 8,000,000","T corner, 34th Street and Lane, 11th Ave, Taguig, 1634 Metro Manila","Basic Furnishing, ready for move-in unit",
"2HA - TAYTAY, RIZAL","PHP 707,245,000","Cabrera Road, Brgy. Dolores, Taytay, Rizal","20,207 sqm - Taytay, Rizal - For Sale",
SAN JOSE VILLAGE ALABANG PROPERTY FOR SALE,"PHP 90,000,000","St. Therese St., San Jose Village, Alabang",House and Lot for Sale,
"4BR CONDOMINIUM FOR SALE IN ONE GATEWAY PLACE, MANDALUYONG","PHP 12,653,100",Mandaluyong,"An unfurnished 4 bedroom loft type condominium unit for sale in One Gateway Place, Mandaluyong. This unit has 3 toilets and baths, a balcony, and a floor area of 14.59 SQM, priced at Php 12,653,100.",
2BR CONDOMINIUM FOR SALE IN AVIDA TOWERS SAN LORENZO,"PHP 10,237,500","Chino Roces Avenue, Brgy Pio del Pilar, Makati",2 Bedrooms,
PASEO HEIGHTS,"PHP 7,900,000","Leviste St., Salcedo Village Makati City",Studio,
SEAVIEW CRESCENT BEACH,"PHP 86,000,000",23 Peninsula Road,vacant lot,
"3BR IN PARK WEST, BGC","PHP 22,000,000","Park West, 7th Ave. cor. 36th St., BGC, Taguig",3BR corner unit,
"1 BEDROOM FOR SALE IN SEA RESIDENCES CONDOMINIUM BLDG D, PASAY","PHP 4,560,000","Pearl Drive Cor Sunrise Drive, Pasay, 1300 Metro Manila",1BR,
"135-SQM RESIDENTIAL LOT FOR SALE IN PROJECT 8, QUEZON CITY","73,000","Hereford St., Project 8, Quezon City",Residential lot for sale,
PROPERTY FOR SALE IN MANDALUYONG WITH STRUCTURE,"PHP 140,000,000","North Sikap Corner Buenviaje, Mandalyong City",Residential Lot With Warehouse Structure,
"3BR HOUSE AND LOT FOR SALE IN AYALA ALABANG, MUNTINLUPA","PHP 270,000,000",Muntinlupa,"An unfurnished 3 bedroom house and lot for sale in Ayala Alabang, Muntinlupa, with a lot area of 958 SQM and a floor area of 915.04 SQM, priced at Php 270,000,000. This property has 3 toilets and bath, balcony, service kitchen, swimming pool, with garden, maid’s room. with service entrance. 1 den with a toilet and bath, maid and driver’s room with toilet and bath, swimming pool with toilet and bath, and solar heater for water.",
"HOUSE & LOT FOR SALE IN BF HOMES, PARANAQUE","PHP 20,000,000","18 Pilar Banzon, BF Homes Paranaque City","18 Pilar Banzon Lot area 322 sqm Floor area 232 Bungalow 3 Bedroom 2 T&B Maids room Storage room 20,000,000 Php Gross Selling Incl CGT & 3% Broker fee 62,112 Php/sqm",
"2BR CONDOMINIUM FOR SALE IN THREE CENTRAL, MAKATI","PHP 16,800,000",Valero St. Salcedo Village,2 bedrooms with 3 toilet & bath and 1 parking slot,
TAFT AVENUE PROPERTY,"PHP 966,654,000","Taft Avenue, Malate, Manila",Land with Building on Taft Ave.,
"STUDIO FOR SALE IN THE LERATO TOWER 1, MAKATI","PHP 5,900,000","7232 Malugay, Brgy, Makati, Kalakhang Maynila",Studio,
"2 BEDROOMS WITH BALCONY FOR SALE IN THE RISE, MAKATI","PHP 15,100,000","7248 Malugay, Makati, 1203 Kalakhang Maynila",2BR with balcony,
"1 BEDROOM FOR SALE IN JAZZ RESIDENCES TOWER B, MAKATI","PHP 4,825,800","Jupiter St., cor. N. Garcia St., Bel-Air Village, Makati City",1BR,
STA. MARIA BULACAN RESORT FOR SALE,"PHP 14,932,127","Brgy. Bulac, Sta. Maria Bulacan","1,500 sqm. Resort",
"1 BEDROOM WITH PARKING FOR SALE IN SEA RESIDENCES CONDOMINIUM BLDG D, PASAY","PHP 5,760,000","Pearl Drive Cor Sunrise Drive, Pasay, 1300 Metro Manila",1BR with parking,
"1BR CONDOMINIUM FOR SALE IN THE RESIDENCES AT GREENBELT, MAKATI","PHP 22,000,000","Paseo de Roxas, Makati",1 Bedroom,
"HOUSE & LOT FOR SALE IN AMORE AT PORTOFINO PHASE 2, DAANG REYNA, LAS PIÑAS","PHP 31,000,000","Daang Reyna, Las Piñas",House & Lot,
"2BR CONDOMINIUM FOR SALE IN ILLUMINA RESIDENCES MANILA, MANILA","PHP 6,000,000",Manila,"An unfurnished 2 bedroom condominium unit for sale in Illumina Residences Manila, Manila with a floor area of 70.5 SQM priced at Php 5,000,000.",
THE PEAK TOWER - 9TH FLOOR,"PHP 124,600,000","107 L.P. Leviste Street, Makati, 1227 Metro Manila",The Peak Tower - 9th Floor,
"1BR UNIT IN SHANG SALCEDO PLACE, SALCEDO VILLAGE, MAKATI CITY","PHP 16,800,000","SEN. GIL J. PUYAT AVENUE, CORNER TORDESILLAS AND H.V Dela Costa, Makati City",1 Bedroom,
